listing_id,date
2992450,2014-07-01
2992450,2014-10-24
2992450,2015-03-04
2992450,2015-03-25
2992450,2015-06-23
2992450,2015-07-19
2992450,2015-12-31
2992450,2021-09-22
2992450,2022-08-17
3820211,2014-08-15
3820211,2014-08-23
3820211,2014-08-29
3820211,2014-08-31
3820211,2014-09-06
3820211,2014-09-08
3820211,2014-09-17
3820211,2014-09-19
3820211,2014-09-30
3820211,2014-10-02
3820211,2014-10-04
3820211,2014-10-10
3820211,2014-10-12
3820211,2014-10-14
3820211,2014-10-22
3820211,2014-10-23
3820211,2014-11-05
3820211,2014-11-06
3820211,2014-11-09
3820211,2014-11-13
3820211,2014-11-20
3820211,2014-11-21
3820211,2014-11-24
3820211,2014-11-29
3820211,2014-12-17
3820211,2014-12-25
3820211,2014-12-27
3820211,2015-01-01
3820211,2015-04-16
3820211,2015-04-18
3820211,2015-04-20
3820211,2015-04-22
3820211,2015-04-26
3820211,2015-04-29
3820211,2015-05-02
3820211,2015-05-05
3820211,2015-05-07
3820211,2015-05-10
3820211,2015-05-13
3820211,2015-05-17
3820211,2015-05-24
3820211,2015-06-03
3820211,2015-06-11
3820211,2015-06-13
3820211,2015-06-19
3820211,2015-06-21
3820211,2015-06-23
3820211,2015-06-24
3820211,2015-06-27
3820211,2015-06-28
3820211,2015-07-01
3820211,2015-07-04
3820211,2015-07-12
3820211,2015-07-14
3820211,2015-07-15
3820211,2015-07-16
3820211,2015-07-17
3820211,2015-07-18
3820211,2015-07-23
3820211,2015-07-30
3820211,2015-08-08
3820211,2015-08-16
3820211,2015-08-18
3820211,2015-08-19
3820211,2015-08-22
3820211,2015-08-23
3820211,2015-08-26
3820211,2015-08-31
3820211,2015-09-04
3820211,2015-09-06
3820211,2015-09-10
3820211,2015-09-12
3820211,2015-09-16
3820211,2015-09-18
3820211,2015-09-19
3820211,2015-09-23
3820211,2015-09-24
3820211,2015-09-27
3820211,2015-09-29
3820211,2015-10-02
3820211,2015-10-04
3820211,2015-10-06
3820211,2015-10-12
3820211,2015-10-15
3820211,2015-10-16
3820211,2015-10-17
3820211,2015-10-18
3820211,2015-10-24
3820211,2015-10-26
3820211,2015-10-29
3820211,2015-10-30
3820211,2015-11-09
3820211,2015-11-10
3820211,2015-11-11
3820211,2015-11-13
3820211,2015-12-17
3820211,2015-12-18
3820211,2015-12-20
3820211,2015-12-22
3820211,2015-12-26
3820211,2016-01-03
3820211,2016-01-08
3820211,2016-01-10
3820211,2016-01-12
3820211,2016-01-13
3820211,2016-01-16
3820211,2016-01-18
3820211,2016-01-26
3820211,2016-02-01
3820211,2016-02-02
3820211,2016-02-07
3820211,2016-02-08
3820211,2016-02-13
3820211,2016-02-14
3820211,2016-02-20
3820211,2016-02-25
3820211,2016-02-27
3820211,2016-04-11
3820211,2016-04-21
3820211,2016-04-23
3820211,2016-04-26
3820211,2016-05-01
3820211,2016-05-03
3820211,2016-05-10
3820211,2016-06-23
3820211,2016-06-27
3820211,2016-07-02
3820211,2016-07-08
3820211,2016-07-10
3820211,2016-07-12
3820211,2016-07-13
3820211,2016-07-22
3820211,2016-07-24
3820211,2016-07-28
3820211,2016-07-29
3820211,2016-08-01
3820211,2016-12-28
3820211,2016-12-31
3820211,2017-04-15
3820211,2017-04-22
3820211,2017-09-10
3820211,2017-09-14
3820211,2017-09-15
3820211,2017-09-18
3820211,2017-09-21
3820211,2017-09-24
3820211,2017-09-30
3820211,2017-10-02
3820211,2017-10-06
3820211,2017-10-07
3820211,2017-10-08
3820211,2017-10-14
3820211,2017-10-15
3820211,2017-10-20
3820211,2017-10-23
3820211,2017-10-25
3820211,2017-10-26
3820211,2017-10-27
3820211,2017-10-29
3820211,2017-11-06
3820211,2017-11-08
3820211,2017-11-11
3820211,2017-11-15
3820211,2017-11-17
3820211,2017-11-18
3820211,2017-11-19
3820211,2017-11-28
3820211,2017-12-02
3820211,2017-12-03
3820211,2017-12-06
3820211,2017-12-09
3820211,2017-12-10
3820211,2017-12-22
3820211,2017-12-28
3820211,2018-01-02
3820211,2018-01-03
3820211,2018-01-05
3820211,2018-01-09
3820211,2018-01-10
3820211,2018-01-13
3820211,2018-01-17
3820211,2018-01-18
3820211,2018-01-21
3820211,2018-01-28
3820211,2018-01-30
3820211,2018-02-01
3820211,2018-04-01
3820211,2018-04-02
3820211,2018-04-03
3820211,2018-04-08
3820211,2018-04-20
3820211,2018-04-22
3820211,2018-04-28
3820211,2018-05-05
3820211,2018-05-11
3820211,2018-05-20
3820211,2018-05-23
3820211,2018-05-26
3820211,2018-05-28
3820211,2018-06-01
3820211,2018-06-03
3820211,2018-06-10
3820211,2018-06-22
3820211,2018-06-24
3820211,2018-06-27
3820211,2018-06-29
3820211,2018-07-06
3820211,2018-07-07
3820211,2018-07-09
3820211,2018-07-10
3820211,2018-07-15
3820211,2018-07-20
3820211,2018-07-23
3820211,2018-07-28
3820211,2018-07-30
3820211,2018-08-04
3820211,2018-08-05
3820211,2018-08-12
3820211,2018-08-18
3820211,2018-09-09
3820211,2018-10-06
3820211,2018-10-13
3820211,2018-10-15
3820211,2018-10-18
3820211,2018-10-21
3820211,2018-10-28
3820211,2018-10-30
3820211,2018-11-11
3820211,2018-11-12
3820211,2018-11-16
3820211,2018-11-18
3820211,2018-11-22
3820211,2018-11-25
3820211,2018-12-02
3820211,2018-12-31
3820211,2019-01-01
3820211,2019-01-27
3820211,2019-02-05
3820211,2019-02-17
3820211,2019-02-24
3820211,2019-02-27
3820211,2019-03-07
3820211,2019-03-12
3820211,2019-03-13
3820211,2019-03-16
3820211,2019-03-17
